Year,Age,Gender,Educational Attainment,Personal Income,Population Count
1/1/2008,18 to 64,Male,High school or equivalent,No Income,296555.00
1/1/2008,18 to 64,Male,High school or equivalent,"$5,000 to $9,999",187833.00
1/1/2008,18 to 64,Male,High school or equivalent,"$10,000 to $14,999",229724.00
1/1/2008,18 to 64,Male,High school or equivalent,"$15,000 to $24,999",501296.00
1/1/2008,18 to 64,Male,High school or equivalent,"$25,000 to $34,999",433340.00
1/1/2008,18 to 64,Male,High school or equivalent,"$35,000 to $49,999",472466.00
1/1/2008,18 to 64,Male,High school or equivalent,"$50,000 to $74,999",424046.00
1/1/2008,18 to 64,Male,High school or equivalent,"$75,000 and over",175104.00
1/1/2008,18 to 64,Male,"Some college, less than 4-yr degree",No Income,237810.00
1/1/2008,18 to 64,Male,"Some college, less than 4-yr degree","$5,000 to $9,999",211318.00
1/1/2008,18 to 64,Male,"Some college, less than 4-yr degree","$10,000 to $14,999",224732.00
1/1/2008,18 to 64,Male,"Some college, less than 4-yr degree","$15,000 to $24,999",416638.00
1/1/2008,18 to 64,Male,"Some college, less than 4-yr degree","$25,000 to $34,999",418686.00
1/1/2008,18 to 64,Male,"Some college, less than 4-yr degree","$35,000 to $49,999",539958.00
1/1/2008,18 to 64,Male,"Some college, less than 4-yr degree","$50,000 to $74,999",591795.00
1/1/2008,18 to 64,Male,"Some college, less than 4-yr degree","$75,000 and over",478470.00
1/1/2008,18 to 64,Male,Bachelor's degree or higher,No Income,94464.00
1/1/2008,18 to 64,Male,Bachelor's degree or higher,"$5,000 to $9,999",52069.00
1/1/2008,18 to 64,Male,Bachelor's degree or higher,"$10,000 to $14,999",88070.00
1/1/2008,18 to 64,Male,Bachelor's degree or higher,"$15,000 to $24,999",201443.00
1/1/2008,18 to 64,Male,Bachelor's degree or higher,"$25,000 to $34,999",236263.00
1/1/2008,18 to 64,Male,Bachelor's degree or higher,"$35,000 to $49,999",387555.00
1/1/2008,18 to 64,Male,Bachelor's degree or higher,"$50,000 to $74,999",690627.00
1/1/2008,18 to 64,Male,Bachelor's degree or higher,"$75,000 and over",1456566.00
1/1/2008,18 to 64,Female,No high school diploma,No Income,740143.00
1/1/2008,18 to 64,Female,No high school diploma,"$5,000 to $9,999",252509.00
1/1/2008,18 to 64,Female,No high school diploma,"$10,000 to $14,999",229721.00
1/1/2008,18 to 64,Female,No high school diploma,"$15,000 to $24,999",317043.00
1/1/2008,18 to 64,Female,No high school diploma,"$25,000 to $34,999",93849.00
1/1/2008,18 to 64,Female,No high school diploma,"$35,000 to $49,999",51599.00
1/1/2008,18 to 64,Female,No high school diploma,"$50,000 to $74,999",15192.00
1/1/2008,18 to 64,Female,No high school diploma,"$75,000 and over",4233.00
1/1/2008,18 to 64,Female,High school or equivalent,No Income,528876.00
1/1/2008,18 to 64,Female,High school or equivalent,"$5,000 to $9,999",241389.00
1/1/2008,18 to 64,Female,High school or equivalent,"$10,000 to $14,999",241913.00
1/1/2008,18 to 64,Female,High school or equivalent,"$15,000 to $24,999",420710.00
1/1/2008,18 to 64,Female,High school or equivalent,"$25,000 to $34,999",293265.00
1/1/2008,18 to 64,Female,High school or equivalent,"$35,000 to $49,999",249327.00
1/1/2008,18 to 64,Female,High school or equivalent,"$50,000 to $74,999",131571.00
1/1/2008,18 to 64,Female,High school or equivalent,"$75,000 and over",59350.00
1/1/2008,18 to 64,Female,"Some college, less than 4-yr degree",No Income,451575.00
1/1/2008,18 to 64,Female,"Some college, less than 4-yr degree","$5,000 to $9,999",327251.00
1/1/2008,18 to 64,Female,"Some college, less than 4-yr degree","$10,000 to $14,999",334679.00
1/1/2008,18 to 64,Female,"Some college, less than 4-yr degree","$15,000 to $24,999",497615.00
1/1/2008,18 to 64,Female,"Some college, less than 4-yr degree","$25,000 to $34,999",496456.00
1/1/2008,18 to 64,Female,"Some college, less than 4-yr degree","$35,000 to $49,999",536363.00
1/1/2008,18 to 64,Female,"Some college, less than 4-yr degree","$50,000 to $74,999",345723.00
1/1/2008,18 to 64,Female,"Some college, less than 4-yr degree","$75,000 and over",179877.00
1/1/2008,18 to 64,Female,Bachelor's degree or higher,No Income,224757.00
1/1/2008,18 to 64,Female,Bachelor's degree or higher,"$5,000 to $9,999",131590.00
1/1/2008,18 to 64,Female,Bachelor's degree or higher,"$10,000 to $14,999",148626.00
1/1/2008,18 to 64,Female,Bachelor's degree or higher,"$15,000 to $24,999",345795.00
1/1/2008,18 to 64,Female,Bachelor's degree or higher,"$25,000 to $34,999",320338.00
1/1/2008,18 to 64,Female,Bachelor's degree or higher,"$35,000 to $49,999",503031.00
1/1/2008,18 to 64,Female,Bachelor's degree or higher,"$50,000 to $74,999",770798.00
1/1/2008,18 to 64,Female,Bachelor's degree or higher,"$75,000 and over",781211.00
1/1/2008,65 to 80+,Male,No high school diploma,No Income,33353.00
1/1/2008,65 to 80+,Male,No high school diploma,"$5,000 to $9,999",71652.00
1/1/2008,65 to 80+,Male,No high school diploma,"$10,000 to $14,999",124247.00
1/1/2008,65 to 80+,Male,No high school diploma,"$15,000 to $24,999",69185.00
1/1/2008,65 to 80+,Male,No high school diploma,"$25,000 to $34,999",16279.00
1/1/2008,65 to 80+,Male,No high school diploma,"$35,000 to $49,999",21985.00
1/1/2008,65 to 80+,Male,No high school diploma,"$50,000 to $74,999",13271.00
1/1/2008,65 to 80+,Male,No high school diploma,"$75,000 and over",5801.00
1/1/2008,65 to 80+,Male,High school or equivalent,No Income,8278.00
1/1/2008,65 to 80+,Male,High school or equivalent,"$5,000 to $9,999",46783.00
1/1/2008,65 to 80+,Male,High school or equivalent,"$10,000 to $14,999",75602.00
1/1/2008,65 to 80+,Male,High school or equivalent,"$15,000 to $24,999",108184.00
1/1/2008,65 to 80+,Male,High school or equivalent,"$25,000 to $34,999",37651.00
1/1/2008,65 to 80+,Male,High school or equivalent,"$35,000 to $49,999",48804.00
1/1/2008,65 to 80+,Male,High school or equivalent,"$50,000 to $74,999",27164.00
1/1/2008,65 to 80+,Male,High school or equivalent,"$75,000 and over",8527.00
1/1/2008,65 to 80+,Male,"Some college, less than 4-yr degree",No Income,1923.00
1/1/2008,65 to 80+,Male,"Some college, less than 4-yr degree","$5,000 to $9,999",21902.00
1/1/2008,65 to 80+,Male,"Some college, less than 4-yr degree","$10,000 to $14,999",66280.00
1/1/2008,65 to 80+,Male,"Some college, less than 4-yr degree","$15,000 to $24,999",108057.00
1/1/2008,65 to 80+,Male,"Some college, less than 4-yr degree","$25,000 to $34,999",62955.00
1/1/2008,65 to 80+,Male,"Some college, less than 4-yr degree","$35,000 to $49,999",46427.00
1/1/2008,65 to 80+,Male,"Some college, less than 4-yr degree","$50,000 to $74,999",22443.00
1/1/2008,65 to 80+,Male,"Some college, less than 4-yr degree","$75,000 and over",34723.00
1/1/2008,65 to 80+,Male,Bachelor's degree or higher,No Income,25141.00
1/1/2008,65 to 80+,Male,Bachelor's degree or higher,"$5,000 to $9,999",27004.00
1/1/2008,65 to 80+,Male,Bachelor's degree or higher,"$10,000 to $14,999",43599.00
1/1/2008,65 to 80+,Male,Bachelor's degree or higher,"$15,000 to $24,999",70274.00
1/1/2008,65 to 80+,Male,Bachelor's degree or higher,"$25,000 to $34,999",51983.00
1/1/2008,65 to 80+,Male,Bachelor's degree or higher,"$35,000 to $49,999",73084.00
1/1/2008,65 to 80+,Male,Bachelor's degree or higher,"$50,000 to $74,999",82823.00
1/1/2008,65 to 80+,Male,Bachelor's degree or higher,"$75,000 and over",161013.00
1/1/2008,65 to 80+,Female,No high school diploma,No Income,69280.00
1/1/2008,65 to 80+,Female,No high school diploma,"$5,000 to $9,999",178234.00
1/1/2008,65 to 80+,Female,No high school diploma,"$10,000 to $14,999",182135.00
1/1/2008,65 to 80+,Female,No high school diploma,"$15,000 to $24,999",42275.00
1/1/2008,65 to 80+,Female,No high school diploma,"$25,000 to $34,999",14645.00
1/1/2008,65 to 80+,Female,No high school diploma,"$35,000 to $49,999",8109.00
1/1/2008,65 to 80+,Female,No high school diploma,"$50,000 to $74,999",8297.00
1/1/2008,65 to 80+,Female,No high school diploma,"$75,000 and over",1981.00
1/1/2008,65 to 80+,Female,High school or equivalent,No Income,34242.00
1/1/2008,65 to 80+,Female,High school or equivalent,"$5,000 to $9,999",188067.00
1/1/2008,65 to 80+,Female,High school or equivalent,"$10,000 to $14,999",156811.00
1/1/2008,65 to 80+,Female,High school or equivalent,"$15,000 to $24,999",164592.00
1/1/2008,65 to 80+,Female,High school or equivalent,"$25,000 to $34,999",78590.00
1/1/2008,65 to 80+,Female,High school or equivalent,"$35,000 to $49,999",34003.00
1/1/2008,65 to 80+,Female,High school or equivalent,"$50,000 to $74,999",29183.00
1/1/2008,65 to 80+,Female,High school or equivalent,"$75,000 and over",12086.00
1/1/2008,65 to 80+,Female,"Some college, less than 4-yr degree",No Income,12954.00
1/1/2008,65 to 80+,Female,"Some college, less than 4-yr degree","$5,000 to $9,999",93823.00
1/1/2008,65 to 80+,Female,"Some college, less than 4-yr degree","$10,000 to $14,999",120242.00
1/1/2008,65 to 80+,Female,"Some college, less than 4-yr degree","$15,000 to $24,999",149462.00
1/1/2008,65 to 80+,Female,"Some college, less than 4-yr degree","$25,000 to $34,999",73070.00
1/1/2008,65 to 80+,Female,"Some college, less than 4-yr degree","$35,000 to $49,999",48577.00
1/1/2008,65 to 80+,Female,"Some college, less than 4-yr degree","$50,000 to $74,999",27158.00
1/1/2008,65 to 80+,Female,"Some college, less than 4-yr degree","$75,000 and over",35445.00
1/1/2008,65 to 80+,Female,Bachelor's degree or higher,No Income,12915.00
1/1/2008,65 to 80+,Female,Bachelor's degree or higher,"$5,000 to $9,999",50596.00
1/1/2008,65 to 80+,Female,Bachelor's degree or higher,"$10,000 to $14,999",54641.00
1/1/2008,65 to 80+,Female,Bachelor's degree or higher,"$15,000 to $24,999",42390.00
1/1/2008,65 to 80+,Female,Bachelor's degree or higher,"$25,000 to $34,999",42705.00
1/1/2008,65 to 80+,Female,Bachelor's degree or higher,"$35,000 to $49,999",75697.00
1/1/2008,65 to 80+,Female,Bachelor's degree or higher,"$50,000 to $74,999",64954.00
1/1/2008,65 to 80+,Female,Bachelor's degree or higher,"$75,000 and over",60942.00
1/1/2009,00 to 17,Male,Children under 15,No Income,0.00
1/1/2009,00 to 17,Male,No high school diploma,No Income,629969.00
1/1/2009,00 to 17,Male,No high school diploma,"$5,000 to $9,999",41863.00
1/1/2009,00 to 17,Male,No high school diploma,"$10,000 to $14,999",7651.00
1/1/2009,00 to 17,Male,No high school diploma,"$15,000 to $24,999",3222.00
1/1/2009,00 to 17,Male,No high school diploma,"$25,000 to $34,999",1829.00
1/1/2009,00 to 17,Male,High school or equivalent,No Income,0.00
1/1/2009,00 to 17,Male,High school or equivalent,"$5,000 to $9,999",1185.00
1/1/2009,00 to 17,Male,High school or equivalent,"$15,000 to $24,999",2520.00
1/1/2009,00 to 17,Male,"Some college, less than 4-yr degree",No Income,2887.00
1/1/2009,00 to 17,Male,"Some college, less than 4-yr degree","$5,000 to $9,999",1117.00
1/1/2009,00 to 17,Male,"Some college, less than 4-yr degree","$10,000 to $14,999",1878.00
1/1/2009,00 to 17,Male,"Some college, less than 4-yr degree","$15,000 to $24,999",2754.00
1/1/2009,00 to 17,Male,Bachelor's degree or higher,No Income,0.00
1/1/2009,00 to 17,Female,Children under 15,No Income,0.00
1/1/2009,00 to 17,Female,No high school diploma,No Income,648149.00
1/1/2009,00 to 17,Female,No high school diploma,"$5,000 to $9,999",29280.00
1/1/2009,00 to 17,Female,No high school diploma,"$10,000 to $14,999",11341.00
1/1/2009,00 to 17,Female,No high school diploma,"$35,000 to $49,999",1800.00
1/1/2009,00 to 17,Female,No high school diploma,"$50,000 to $74,999",1797.00
1/1/2009,00 to 17,Female,High school or equivalent,No Income,9209.00
1/1/2009,00 to 17,Female,High school or equivalent,"$5,000 to $9,999",3169.00
1/1/2009,00 to 17,Female,High school or equivalent,"$15,000 to $24,999",1294.00
1/1/2009,00 to 17,Female,"Some college, less than 4-yr degree",No Income,4408.00
1/1/2009,00 to 17,Female,"Some college, less than 4-yr degree","$15,000 to $24,999",1780.00
1/1/2009,18 to 64,Male,No high school diploma,No Income,280947.00
1/1/2009,18 to 64,Male,No high school diploma,"$5,000 to $9,999",229865.00
1/1/2009,18 to 64,Male,No high school diploma,"$10,000 to $14,999",278224.00
1/1/2009,18 to 64,Male,No high school diploma,"$15,000 to $24,999",534542.00
1/1/2009,18 to 64,Male,No high school diploma,"$25,000 to $34,999",307653.00
1/1/2009,18 to 64,Male,No high school diploma,"$35,000 to $49,999",247159.00
1/1/2009,18 to 64,Male,No high school diploma,"$50,000 to $74,999",79922.00
1/1/2009,18 to 64,Male,No high school diploma,"$75,000 and over",48803.00
1/1/2009,18 to 64,Male,High school or equivalent,No Income,296927.00
1/1/2009,18 to 64,Male,High school or equivalent,"$5,000 to $9,999",216871.00
1/1/2009,18 to 64,Male,High school or equivalent,"$10,000 to $14,999",213345.00
1/1/2009,18 to 64,Male,High school or equivalent,"$15,000 to $24,999",503750.00
1/1/2009,18 to 64,Male,High school or equivalent,"$25,000 to $34,999",440200.00
1/1/2009,18 to 64,Male,High school or equivalent,"$35,000 to $49,999",481130.00
1/1/2009,18 to 64,Male,High school or equivalent,"$50,000 to $74,999",350784.00
1/1/2009,18 to 64,Male,High school or equivalent,"$75,000 and over",190948.00
1/1/2009,18 to 64,Male,"Some college, less than 4-yr degree",No Income,212039.00
1/1/2009,18 to 64,Male,"Some college, less than 4-yr degree","$5,000 to $9,999",235730.00
1/1/2009,18 to 64,Male,"Some college, less than 4-yr degree","$10,000 to $14,999",288174.00
1/1/2009,18 to 64,Male,"Some college, less than 4-yr degree","$15,000 to $24,999",392488.00
1/1/2009,18 to 64,Male,"Some college, less than 4-yr degree","$25,000 to $34,999",375408.00
1/1/2009,18 to 64,Male,"Some college, less than 4-yr degree","$35,000 to $49,999",486983.00
1/1/2009,18 to 64,Male,"Some college, less than 4-yr degree","$50,000 to $74,999",584200.00
1/1/2009,18 to 64,Male,"Some college, less than 4-yr degree","$75,000 and over",521502.00
1/1/2009,18 to 64,Male,Bachelor's degree or higher,No Income,88688.00
1/1/2009,18 to 64,Male,Bachelor's degree or higher,"$5,000 to $9,999",70367.00
1/1/2009,18 to 64,Male,Bachelor's degree or higher,"$10,000 to $14,999",84122.00
1/1/2009,18 to 64,Male,Bachelor's degree or higher,"$15,000 to $24,999",201713.00
1/1/2009,18 to 64,Male,Bachelor's degree or higher,"$25,000 to $34,999",251200.00
1/1/2009,18 to 64,Male,Bachelor's degree or higher,"$35,000 to $49,999",366170.00
1/1/2009,18 to 64,Male,Bachelor's degree or higher,"$50,000 to $74,999",682775.00
1/1/2009,18 to 64,Male,Bachelor's degree or higher,"$75,000 and over",1497839.00
1/1/2009,18 to 64,Female,No high school diploma,No Income,654156.00
1/1/2009,18 to 64,Female,No high school diploma,"$5,000 to $9,999",248027.00
1/1/2009,18 to 64,Female,No high school diploma,"$10,000 to $14,999",255296.00
1/1/2009,18 to 64,Female,No high school diploma,"$15,000 to $24,999",359624.00
1/1/2009,18 to 64,Female,No high school diploma,"$25,000 to $34,999",86580.00
1/1/2009,18 to 64,Female,No high school diploma,"$35,000 to $49,999",30741.00
1/1/2009,18 to 64,Female,No high school diploma,"$50,000 to $74,999",24592.00
1/1/2009,18 to 64,Female,No high school diploma,"$75,000 and over",10943.00
1/1/2009,18 to 64,Female,High school or equivalent,No Income,519946.00
1/1/2009,18 to 64,Female,High school or equivalent,"$5,000 to $9,999",234527.00
1/1/2009,18 to 64,Female,High school or equivalent,"$10,000 to $14,999",221787.00
1/1/2009,18 to 64,Female,High school or equivalent,"$15,000 to $24,999",450205.00
1/1/2009,18 to 64,Female,High school or equivalent,"$25,000 to $34,999",318602.00
1/1/2009,18 to 64,Female,High school or equivalent,"$35,000 to $49,999",234705.00
1/1/2009,18 to 64,Female,High school or equivalent,"$50,000 to $74,999",134763.00
1/1/2009,18 to 64,Female,High school or equivalent,"$75,000 and over",57292.00
1/1/2009,18 to 64,Female,"Some college, less than 4-yr degree",No Income,387007.00
1/1/2009,18 to 64,Female,"Some college, less than 4-yr degree","$5,000 to $9,999",345944.00
1/1/2009,18 to 64,Female,"Some college, less than 4-yr degree","$10,000 to $14,999",370518.00
1/1/2009,18 to 64,Female,"Some college, less than 4-yr degree","$15,000 to $24,999",647024.00
1/1/2009,18 to 64,Female,"Some college, less than 4-yr degree","$25,000 to $34,999",454455.00
1/1/2009,18 to 64,Female,"Some college, less than 4-yr degree","$35,000 to $49,999",459975.00
1/1/2009,18 to 64,Female,"Some college, less than 4-yr degree","$50,000 to $74,999",347119.00
1/1/2009,18 to 64,Female,"Some college, less than 4-yr degree","$75,000 and over",200198.00
1/1/2009,18 to 64,Female,Bachelor's degree or higher,No Income,243154.00
1/1/2009,18 to 64,Female,Bachelor's degree or higher,"$5,000 to $9,999",160748.00
1/1/2009,18 to 64,Female,Bachelor's degree or higher,"$10,000 to $14,999",136360.00
1/1/2009,18 to 64,Female,Bachelor's degree or higher,"$15,000 to $24,999",311511.00
1/1/2009,18 to 64,Female,Bachelor's degree or higher,"$25,000 to $34,999",320129.00
1/1/2009,18 to 64,Female,Bachelor's degree or higher,"$35,000 to $49,999",495664.00
1/1/2009,18 to 64,Female,Bachelor's degree or higher,"$50,000 to $74,999",767013.00
1/1/2009,18 to 64,Female,Bachelor's degree or higher,"$75,000 and over",682401.00
1/1/2009,65 to 80+,Male,No high school diploma,No Income,18196.00
1/1/2009,65 to 80+,Male,No high school diploma,"$5,000 to $9,999",71415.00
1/1/2009,65 to 80+,Male,No high school diploma,"$10,000 to $14,999",98666.00
1/1/2009,65 to 80+,Male,No high school diploma,"$15,000 to $24,999",72908.00
1/1/2009,65 to 80+,Male,No high school diploma,"$25,000 to $34,999",41437.00
1/1/2009,65 to 80+,Male,No high school diploma,"$35,000 to $49,999",24599.00
1/1/2009,65 to 80+,Male,No high school diploma,"$50,000 to $74,999",18475.00
1/1/2009,65 to 80+,Male,No high school diploma,"$75,000 and over",2915.00
1/1/2009,65 to 80+,Male,High school or equivalent,No Income,11528.00
1/1/2009,65 to 80+,Male,High school or equivalent,"$5,000 to $9,999",37770.00
1/1/2009,65 to 80+,Male,High school or equivalent,"$10,000 to $14,999",71193.00
1/1/2009,65 to 80+,Male,High school or equivalent,"$15,000 to $24,999",64082.00
1/1/2009,65 to 80+,Male,High school or equivalent,"$25,000 to $34,999",50987.00
1/1/2009,65 to 80+,Male,High school or equivalent,"$35,000 to $49,999",59302.00
1/1/2009,65 to 80+,Male,High school or equivalent,"$50,000 to $74,999",35227.00
1/1/2009,65 to 80+,Male,High school or equivalent,"$75,000 and over",23963.00
1/1/2009,65 to 80+,Male,"Some college, less than 4-yr degree",No Income,17061.00
1/1/2009,65 to 80+,Male,"Some college, less than 4-yr degree","$5,000 to $9,999",23224.00
1/1/2009,65 to 80+,Male,"Some college, less than 4-yr degree","$10,000 to $14,999",30456.00
1/1/2009,65 to 80+,Male,"Some college, less than 4-yr degree","$15,000 to $24,999",88779.00
1/1/2009,65 to 80+,Male,"Some college, less than 4-yr degree","$25,000 to $34,999",55910.00
1/1/2009,65 to 80+,Male,"Some college, less than 4-yr degree","$35,000 to $49,999",69546.00
1/1/2009,65 to 80+,Male,"Some college, less than 4-yr degree","$50,000 to $74,999",39410.00
1/1/2009,65 to 80+,Male,"Some college, less than 4-yr degree","$75,000 and over",58478.00
1/1/2009,65 to 80+,Male,Bachelor's degree or higher,No Income,6660.00
1/1/2009,65 to 80+,Male,Bachelor's degree or higher,"$5,000 to $9,999",34492.00
1/1/2009,65 to 80+,Male,Bachelor's degree or higher,"$10,000 to $14,999",36484.00
1/1/2009,65 to 80+,Male,Bachelor's degree or higher,"$15,000 to $24,999",52607.00
1/1/2009,65 to 80+,Male,Bachelor's degree or higher,"$25,000 to $34,999",76215.00
1/1/2009,65 to 80+,Male,Bachelor's degree or higher,"$35,000 to $49,999",77792.00
1/1/2009,65 to 80+,Male,Bachelor's degree or higher,"$50,000 to $74,999",109490.00
1/1/2009,65 to 80+,Male,Bachelor's degree or higher,"$75,000 and over",212440.00
1/1/2009,65 to 80+,Female,No high school diploma,No Income,73024.00
1/1/2009,65 to 80+,Female,No high school diploma,"$5,000 to $9,999",178289.00
1/1/2009,65 to 80+,Female,No high school diploma,"$10,000 to $14,999",149933.00
1/1/2009,65 to 80+,Female,No high school diploma,"$15,000 to $24,999",64958.00
1/1/2009,65 to 80+,Female,No high school diploma,"$25,000 to $34,999",20186.00
1/1/2009,65 to 80+,Female,No high school diploma,"$35,000 to $49,999",4060.00
1/1/2009,65 to 80+,Female,No high school diploma,"$50,000 to $74,999",7703.00
1/1/2009,65 to 80+,Female,No high school diploma,"$75,000 and over",1398.00
1/1/2009,65 to 80+,Female,High school or equivalent,No Income,43907.00
1/1/2009,65 to 80+,Female,High school or equivalent,"$5,000 to $9,999",116176.00
1/1/2009,65 to 80+,Female,High school or equivalent,"$10,000 to $14,999",151357.00
1/1/2009,65 to 80+,Female,High school or equivalent,"$15,000 to $24,999",152036.00
1/1/2009,65 to 80+,Female,High school or equivalent,"$25,000 to $34,999",58811.00
1/1/2009,65 to 80+,Female,High school or equivalent,"$35,000 to $49,999",27349.00
1/1/2009,65 to 80+,Female,High school or equivalent,"$50,000 to $74,999",42710.00
1/1/2009,65 to 80+,Female,High school or equivalent,"$75,000 and over",19659.00
1/1/2009,65 to 80+,Female,"Some college, less than 4-yr degree",No Income,12106.00
1/1/2009,65 to 80+,Female,"Some college, less than 4-yr degree","$5,000 to $9,999",75617.00
1/1/2009,65 to 80+,Female,"Some college, less than 4-yr degree","$10,000 to $14,999",89119.00
1/1/2009,65 to 80+,Female,"Some college, less than 4-yr degree","$15,000 to $24,999",140082.00
1/1/2009,65 to 80+,Female,"Some college, less than 4-yr degree","$25,000 to $34,999",81764.00
1/1/2009,65 to 80+,Female,"Some college, less than 4-yr degree","$35,000 to $49,999",59529.00
1/1/2009,65 to 80+,Female,"Some college, less than 4-yr degree","$50,000 to $74,999",57036.00
1/1/2009,65 to 80+,Female,"Some college, less than 4-yr degree","$75,000 and over",33358.00
1/1/2009,65 to 80+,Female,Bachelor's degree or higher,No Income,10741.00
1/1/2009,65 to 80+,Female,Bachelor's degree or higher,"$5,000 to $9,999",57811.00
1/1/2009,65 to 80+,Female,Bachelor's degree or higher,"$10,000 to $14,999",70495.00
1/1/2009,65 to 80+,Female,Bachelor's degree or higher,"$15,000 to $24,999",85667.00
1/1/2009,65 to 80+,Female,Bachelor's degree or higher,"$25,000 to $34,999",58901.00
1/1/2009,65 to 80+,Female,Bachelor's degree or higher,"$35,000 to $49,999",68234.00
1/1/2009,65 to 80+,Female,Bachelor's degree or higher,"$50,000 to $74,999",61489.00
1/1/2009,65 to 80+,Female,Bachelor's degree or higher,"$75,000 and over",57029.00
1/1/2010,00 to 17,Male,Children under 15,No Income,0.00
1/1/2010,00 to 17,Male,No high school diploma,No Income,596761.00
1/1/2010,00 to 17,Male,No high school diploma,"$5,000 to $9,999",21116.00
1/1/2010,00 to 17,Male,No high school diploma,"$10,000 to $14,999",5345.00
1/1/2010,00 to 17,Male,No high school diploma,"$15,000 to $24,999",9139.00
1/1/2010,00 to 17,Male,No high school diploma,"$35,000 to $49,999",3642.00
1/1/2010,00 to 17,Male,High school or equivalent,No Income,0.00
1/1/2010,00 to 17,Male,High school or equivalent,"$10,000 to $14,999",1817.00
1/1/2010,00 to 17,Male,"Some college, less than 4-yr degree",No Income,0.00
1/1/2010,00 to 17,Male,"Some college, less than 4-yr degree","$5,000 to $9,999",2683.00
1/1/2010,00 to 17,Male,"Some college, less than 4-yr degree","$15,000 to $24,999",1434.00
1/1/2010,00 to 17,Male,"Some college, less than 4-yr degree","$25,000 to $34,999",1447.00
1/1/2010,00 to 17,Male,Bachelor's degree or higher,No Income,0.00
1/1/2010,00 to 17,Male,Bachelor's degree or higher,"$75,000 and over",1192.00
1/1/2010,00 to 17,Female,Children under 15,No Income,0.00
1/1/2010,00 to 17,Female,No high school diploma,No Income,610512.00
1/1/2010,00 to 17,Female,No high school diploma,"$5,000 to $9,999",24781.00
1/1/2010,00 to 17,Female,No high school diploma,"$10,000 to $14,999",6967.00
1/1/2010,00 to 17,Female,No high school diploma,"$15,000 to $24,999",6386.00
1/1/2010,00 to 17,Female,High school or equivalent,No Income,5811.00
1/1/2010,00 to 17,Female,High school or equivalent,"$5,000 to $9,999",3641.00
1/1/2010,00 to 17,Female,High school or equivalent,"$10,000 to $14,999",1660.00
1/1/2010,00 to 17,Female,High school or equivalent,"$25,000 to $34,999",1048.00
1/1/2010,00 to 17,Female,"Some college, less than 4-yr degree","$15,000 to $24,999",0.00
1/1/2010,00 to 17,Female,Bachelor's degree or higher,No Income,2879.00
1/1/2010,18 to 64,Male,No high school diploma,No Income,369566.00
1/1/2010,18 to 64,Male,No high school diploma,"$5,000 to $9,999",226209.00
1/1/2010,18 to 64,Male,No high school diploma,"$10,000 to $14,999",295536.00
1/1/2010,18 to 64,Male,No high school diploma,"$15,000 to $24,999",535027.00
1/1/2010,18 to 64,Male,No high school diploma,"$25,000 to $34,999",244978.00
1/1/2010,18 to 64,Male,No high school diploma,"$35,000 to $49,999",192622.00
1/1/2010,18 to 64,Male,No high school diploma,"$50,000 to $74,999",93885.00
1/1/2010,18 to 64,Male,No high school diploma,"$75,000 and over",38266.00
